Week,ASP*,Total Volume,4046,4225,4770,Total Bagged,Sml Bagged,Lrg Bagged,XLrg Bagged,region,type,year
12/31/2017,$0.98,38267342,13109617,13197461,644838,11315426,8092355,3098374,124697,TOTAL U.S.,Conventional,2017
12/24/2017,$1.18,29102349,10027319,8964247,546374,9564409,7222271,2226794,115344,TOTAL U.S.,Conventional,2017
12/17/2017,$1.07,30757767,10704214,9934618,574089,9544845,7149680,2260603,134562,TOTAL U.S.,Conventional,2017
12/10/2017,$1.03,35634913,11943915,11659898,398349,11632752,8404955,3122650,105147,TOTAL U.S.,Conventional,2017
12/3/2017,$1.09,33824253,11746980,10905968,583801,10587491,7730801,2748622,108068,TOTAL U.S.,Conventional,2017
11/26/2017,$1.24,24686675,9175316,7312239,379637,7819483,5571801,2156887,90795,TOTAL U.S.,Conventional,2017
11/19/2017,$1.17,29253484,11173132,7847059,416186,9817108,6662322,3059627,95159,TOTAL U.S.,Conventional,2017
11/12/2017,$1.15,32336225,11512837,9994648,416643,10412097,7277327,3044847,89923,TOTAL U.S.,Conventional,2017
11/5/2017,$1.19,32051594,11042128,9774988,400251,10834227,7470394,3275463,88369,TOTAL U.S.,Conventional,2017
10/29/2017,$1.29,30237911,10596903,9803570,424756,9412683,6602082,2747520,63081,TOTAL U.S.,Conventional,2017
10/22/2017,$1.44,26706972,9607587,8761193,409598,7928593,6074596,1804540,49457,TOTAL U.S.,Conventional,2017
10/15/2017,$1.58,25031589,8769358,8534404,392119,7335708,5387869,1893511,54328,TOTAL U.S.,Conventional,2017
10/8/2017,$1.65,24397166,8911144,7609510,391833,7484679,5444021,1976739,63919,TOTAL U.S.,Conventional,2017
10/1/2017,$1.64,24610645,8342408,8354516,384794,7528927,5513112,1954129,61686,TOTAL U.S.,Conventional,2017
9/24/2017,$1.62,24637148,8652381,8295762,385005,7304000,5442167,1792565,69269,TOTAL U.S.,Conventional,2017
9/17/2017,$1.57,25394903,9153159,8328242,417271,7496232,5494164,1923561,78507,TOTAL U.S.,Conventional,2017
9/10/2017,$1.56,26385081,9496485,8373234,487927,8027435,6035666,1818832,172937,TOTAL U.S.,Conventional,2017
9/3/2017,$1.57,26808411,9775063,8565266,541903,7926179,5851814,1855970,218395,TOTAL U.S.,Conventional,2017
8/27/2017,$1.47,28785280,10735710,8587106,517542,8944923,6592504,2117566,234853,TOTAL U.S.,Conventional,2017
8/20/2017,$1.41,29913744,10507929,8837219,581074,9987522,6837126,2911554,238841,TOTAL U.S.,Conventional,2017
8/13/2017,$1.33,32817254,10952704,11154310,624963,10085277,6687662,3118889,278726,TOTAL U.S.,Conventional,2017
8/6/2017,$1.33,32529920,11292580,10988314,665313,9583714,6889926,2376270,317518,TOTAL U.S.,Conventional,2017
7/30/2017,$1.32,31756097,11112191,11088083,596676,8959147,6337457,2396439,225251,TOTAL U.S.,Conventional,2017
7/23/2017,$1.31,32608302,11391056,11339580,612242,9265423,6333888,2636616,294918,TOTAL U.S.,Conventional,2017
7/16/2017,$1.33,32455047,11155466,11202845,756103,9340633,6514899,2499386,326348,TOTAL U.S.,Conventional,2017
7/9/2017,$1.17,39367336,13009944,11031218,821964,14504209,11112406,3018280,373523,TOTAL U.S.,Conventional,2017
7/2/2017,$1.21,38010426,12623189,10988735,859890,13538613,10041244,3119708,377661,TOTAL U.S.,Conventional,2017
6/25/2017,$1.17,37305308,12901032,10805962,655966,12942348,9462413,3202254,277681,TOTAL U.S.,Conventional,2017
6/18/2017,$1.18,38247669,12975373,11199449,807107,13265740,9650859,3267491,347390,TOTAL U.S.,Conventional,2017
6/11/2017,$1.21,37039854,13490546,10090861,648411,12810036,9373422,3128713,307901,TOTAL U.S.,Conventional,2017
6/4/2017,$1.24,37352361,13248335,10157565,667067,13279394,10103007,2946265,230123,TOTAL U.S.,Conventional,2017
5/28/2017,$1.28,37030894,12841952,10932971,673385,12582586,9312239,3013459,256887,TOTAL U.S.,Conventional,2017
5/21/2017,$1.26,34397651,12120949,10213232,621604,11441867,8508442,2718685,214740,TOTAL U.S.,Conventional,2017
5/14/2017,$1.19,36634269,12807836,9717258,652973,13456202,10373348,2859414,223441,TOTAL U.S.,Conventional,2017
5/7/2017,$1.09,47293922,17076651,13549103,863472,15804696,11228050,4324231,252415,TOTAL U.S.,Conventional,2017
4/30/2017,$1.18,38315500,13316594,11291149,667997,13039760,9463811,3378924,197026,TOTAL U.S.,Conventional,2017
4/23/2017,$1.18,35729014,12236713,10224484,613507,12654309,9051467,3434847,167995,TOTAL U.S.,Conventional,2017
4/16/2017,$1.23,35182321,12311055,10069354,650017,12151894,9399105,2544943,207847,TOTAL U.S.,Conventional,2017
4/9/2017,$1.21,34785713,12091315,10821096,647969,11225332,8946793,2098143,180396,TOTAL U.S.,Conventional,2017
4/2/2017,$1.21,34468017,12245521,9733585,624710,11864202,9385516,2330300,148386,TOTAL U.S.,Conventional,2017
